Date,Price,Open,High,Low,Vol.,Change %,pred
2022-03-03,31.0,30.4,31.6,30.4,28860,-0.0096,1.0
2022-03-02,31.3,32.2,32.2,30.9,39330,-0.0126,1.0
2022-03-01,31.7,31.5,32.7,31.5,151870,0.0128,1.0
2022-02-28,31.3,31.0,31.7,31.0,75740,0.0097,1.0
2022-02-27,31.0,32.5,32.5,30.9,174170,-0.0578,1.0
2022-02-24,32.9,33.1,33.7,32.8,136470,-0.015,1.0
2022-02-23,33.4,33.2,33.6,33.1,59540,0.006,1.0
2022-02-22,33.2,33.5,33.7,33.1,73270,-0.006,1.0
2022-02-20,33.4,34.0,34.0,33.3,93950,-0.0118,1.0
2022-02-17,33.8,33.7,34.1,33.7,71180,0.0,1.0
2022-02-16,33.8,34.1,34.4,33.7,130259,-0.0088,1.0
2022-02-15,34.1,34.4,34.8,34.0,108450,-0.0116,1.0
2022-02-14,34.5,34.5,34.9,34.3,118500,0.0029,1.0
2022-02-13,34.4,35.4,35.4,34.1,152970,-0.0143,1.0
2022-02-10,34.9,35.5,35.5,34.9,109130,-0.0141,1.0
2022-02-09,35.4,35.2,35.7,35.1,89460,-0.0056,1.0
2022-02-08,35.6,36.2,36.5,35.3,205510,-0.0084,1.0
2022-02-07,35.9,35.0,36.2,34.9,494830,0.0346,1.0
2022-02-06,34.7,33.9,34.9,33.8,182910,0.0236,1.0
2022-02-03,33.9,34.4,34.5,33.8,115580,-0.0059,1.0
2022-02-02,34.1,33.9,34.4,33.5,120300,0.0179,1.0
2022-02-01,33.5,34.0,34.3,33.4,164950,-0.0089,1.0
2022-01-31,33.8,34.2,34.2,33.7,267420,-0.0088,1.0
2022-01-30,34.1,34.2,34.6,33.8,247570,-0.0029,1.0
2022-01-27,34.2,34.6,34.7,34.1,168300,-0.0058,1.0
2022-01-26,34.4,34.4,34.7,34.3,85930,0.0,1.0
2022-01-25,34.4,34.5,35.0,34.3,104310,0.0058,1.0
2022-01-24,34.2,34.8,34.9,34.2,137360,-0.0144,1.0
2022-01-23,34.7,35.1,35.5,34.5,194170,0.0,1.0
2022-01-20,34.7,35.0,35.0,34.5,127380,0.0,1.0
2022-01-19,34.7,35.4,35.4,34.6,126250,-0.0029,1.0
2022-01-18,34.8,35.7,35.8,34.7,182260,-0.0114,1.0
2022-01-17,35.2,34.8,35.6,34.7,119780,0.0144,1.0
2022-01-16,34.7,35.3,35.4,34.5,172520,0.0,1.0
2022-01-13,34.7,34.8,35.3,34.6,114500,-0.0029,1.0
2022-01-12,34.8,35.5,35.5,34.7,192930,-0.0114,1.0
2022-01-11,35.2,35.2,35.6,35.1,137520,-0.0028,1.0
2022-01-10,35.3,35.5,35.9,35.2,160830,-0.0056,1.0
2022-01-06,35.5,36.3,36.4,35.3,257200,-0.0111,1.0
2022-01-05,35.9,36.2,36.6,35.8,302730,-0.0055,1.0
2022-01-04,36.1,36.0,36.5,35.9,252560,0.0056,1.0
2022-01-03,35.9,36.4,36.5,35.8,209130,-0.0028,1.0
2022-01-02,36.0,36.3,36.6,35.8,117940,0.0056,1.0
2021-12-30,35.8,36.2,36.5,35.7,169350,0.0,1.0
2021-12-29,35.8,36.4,36.4,35.6,117430,-0.011,1.0
2021-12-28,36.2,36.1,37.1,36.0,309120,0.0112,1.0
